all_text_16_my_voice.ref.txt	all_text_16_my_voice_03_.cmp.txt
0.11491442542787286	0.11491442542787286
какие	какие
выводы	выводы
то	<>
для	для
себя	себя
какие	какие
то	то
делаете	делаете
вы	вы
естественно	естественно
вам	вам
еще	еще
повезло	повезло
что	что
вы	вы
с	с
таким	таким
стажем	стажем
богатым	@богатом
первый	первый
раз	раз
только	только
на	на
скамье	скамье
подсудимых	подсудимых
оказались	оказались
ну	ну
да	да
нет	нет
ну	@но
просто	просто
как	как
бы	бы
да	да
девять	девять
лет	лет
там	там
или	или
сколько	сколько
и	и
десять	десять
лет	лет
употреблять	употреблять
героин	героин
и	и
один	один
раз	раз
только	только
осудиться	@судиться
это	это
в	<>
общем	@вобщем
большая	большая
удача	удача
как	как
бы	бы
цинично	цинично
это	это
не	@ни
звучало	звучало
поэтому	поэтому
просто	просто
вы	вы
поймите	поймите
что	что
двести	двести
двадцать	двадцать
восьмая	восьмая
вот	вот
у	у
вас	вас
сразу	сразу
тяжкое	тяжкое
преступление	преступление
вас	вас
в	<>
принципе	принципе
сразу	сразу
можно	можно
под	под
стражу	стражу
брать	брать
как	как
бы	бы
и	и
лишать	лишать
свободы	свободы
да	да
то	то
есть	есть
это	это
ни	<>
ни	@не
какие	какие
то	то
ни	@не
побои	побои
там	там
ни	<>
какое	<>
то	@никакой
там	@это
не	не
кража	кража
курицы	@курицу
из	из
магазина	магазина
да	да
то	то
есть	есть
это	это
ведь	@есть
статья	статья
которая	которая
предусматривает	предусматривает
лишение	лишение
свободы	свободы
сразу	сразу
до	@бы
десяти	десяти
лет	лет
как	<>
бы	<>
чтобы	<>
неповадно	<>
было	<>
поэтому	поэтому
просто	просто
ну	ну
выводы	выводы
для	для
себя	себя
какие	какие
то	то
сделайте	@делать
я	я
конечно	конечно
понимаю	понимаю
что	что
вы	вы
у	у
вас	вас
уже	уже
сформировался	сформировался
определенный	определенный
стереотип	стереотип
ну	ну
мать	мать
пожалейте	пожалейте
себя	себя
пожалейте	пожалейте
героиновый	героиновый
наркоман	наркоман
одной	одной
ногой	ногой
в	в
могиле	могиле
другой	другой
ногой	ногой
в	в
тюрьме	тюрьме
наверное	наверное
это	это
не	не
очень	очень
приятно	приятно
вы	вы
должны	должны
это	это
понимать	понимать
поэтому	поэтому
делайте	делайте
короче	короче
выводы	@вывод
присаживайтесь	присаживайтесь
дополнения	@дополнение
есть	есть
какие	какие
нет	нет
нет	нет
ваша	ваша
честь	честь
слушаю	слушаю
прокурора	прокурора
ваша	ваша
честь	честь
подсудимый	подсудимый
обвиняется	обвиняется
в	в
том	том
что	что
он	он
совершил	совершил
незаконное	незаконное
хранение	хранение
наркотического	наркотического
средства	средства
героина	@героин
в	в
крупном	крупном
размере	размере
подсудимый	подсудимый
вину	вину
свою	свою
признал	признал
полностью	полностью
данное	данное
дело	дело
мы	<>
рассмотрели	рассмотрели
в	в
особом	особом
порядке	порядке
и	и
по	по
хадатайству	@ходатайству
подсудимого	подсудимого
при	при
согласии	согласии
участников	участников
процесса	процесса
считаю	считаю
что	что
действия	действия
подсудимого	подсудимого
уголовным	уголовным
следствием	следствием
квалифицировано	@квалифицированно
верно	верно
по	по
статье	статье
двести	двести
двадцать	двадцать
восьмой	@восьмую
часть	часть
второй	второй
уголовного	уголовного
кодекса	кодекса
поэтому	поэтому
прошу	прошу
признать	признать
подсудимого	подсудимого
виновным	виновным
в	в
совершении	совершении
преступления	преступления
предусмотренной	@предусмотренные
данной	данной
статьею	@статьей
при	при
назначении	назначении
наказания	наказания
прошу	прошу
учесть	учесть
что	что
как	как
я	я
уже	уже
сказала	сказала
подсудимый	подсудимый
вину	вину
свою	свою
признал	признал
полностью	полностью
ранее	ранее
к	к
уголовной	уголовной
ответственности	ответственности
не	не
привлекался	привлекался
не	не
судимый	судимый
состоит	состоит
на	на
учете	учете
в	в
наркологическом	наркологическом
диспансере	диспансере
прошу	прошу
учесть	учесть
при	при
назначении	назначении
наказания	наказания
его	его
состояние	@состояния
здоровья	здоровья
то	<>
что	<>
также	также
о	о
том	том
что	что
он	<>
мать	мать
пенсионер	пенсионер
у	у
подсудимого	подсудимого
на	на
иждивении	иждивении
практически	практически
находится	находится
однако	однако
подсудимый	подсудимый
совершил	совершил
тяжкое	тяжкое
преступление	преступление
в	<>
сфере	сфере
оборота	оборота
наркотических	наркотических
средств	средств
также	также
прошу	прошу
это	это
учесть	учесть
и	и
при	при
с	с
учетом	учетом
данных	данных
о	о
личности	личности
подсудимого	подсудимого
прошу	прошу
назначить	назначить
ему	ему
наказание	наказание
в	в
виде	виде
трех	трех
лет	лет
лишения	лишения
свободы	свободы
с	с
отбыванием	отбыванием
наказания	наказания
в	в
исправительной	исправительной
колонии	колонии
общего	общего
режима	режима
изучите	изучите
cправки	@правки
спасибо	спасибо
уважаемый	уважаемый
суд	суд
процесс	процесс
мой	мой
подзащитный	подзащитный
просил	просил
дело	@дела
слушать	слушать
в	в
особом	особом
порядке	порядке
данный	данный
факт	факт
свидетельствует	свидетельствует
о	о
признании	@признание
своей	своей
вины	вины
при	при
назначении	назначении
наказания	наказания
уважаемый	уважаемый
суд	суд
прошу	прошу
учесть	учесть
что	что
ли	ли
мой	мой
подзащитный	подзащитный
является	является
все	все
таки	таки
лицом	лицом
хоть	хоть
употребляющим	@употребляющие
наркотические	наркотические
средства	средства
но	но
но	но
в	в
настоящее	настоящее
время	время
встал	встал
на	на
путь	путь
фактического	фактического
исправления	исправления
в	<>
настоящее	настоящее
время	время
не	не
употребляет	употребляет
также	также
у	у
него	него
имеется	@имеются
заболевание	@заболевания
гепатит	гепатит
ц	@с
данное	данное
обстоятельство	обстоятельство
является	является
смягчающим	смягчающим
его	его
вину	@вену
